comment_id,parent_comment_id,video_id,university_name,category,video_title,author_name,author_channel_id,author_profile_url,author_thumbnail,comment_text,published_at,updated_at,likes,reply_count,is_reply,comment_length,word_count,clean_comment,combined_comment,avg_word_length,sentence_count,hashtag_count,mention_count,exclamation_count,question_count,emoji_count,uppercase_word_count,comment_year,comment_month,comment_day,comment_weekday,comment_hour,hinglish_score,positive_hinglish_words,negative_hinglish_words,profanity_count,contains_profanity,negative,neutral,positive,compound,adjusted_compound,sentiment
UgwrqHBNlDJ-V3fZhvp4AaABAg,,HfaCF7eWefw,Jadavpur University,rankings,Jadavpur University College Review Inshort,@VijayPratap-k7w,UCZKl90ha2nSvpOTxT3f7qBg,http://www.youtube.com/@VijayPratap-k7w,https://yt3.ggpht.com/AS6lSkSX1xsADEX1hh0Qi3TAaXNBFbu8-h3i_SowaZyQnApxPDoBrEalZ6OsdPLqDuXlwgjAR7g=s48-c-k-c0x00ffffff-no-rj,Best review video👍👍,2023-09-30 07:52:19+00:00,2023-09-30T07:52:19Z,1,0,False,19,3,Best review video👍👍,Best review video👍👍,5.67,1,0,0,0,0,1,0,2023,9,30,Saturday,7,2.0,1,0,0,False,0.0,0.323,0.677,0.6369,1.0,Positive
UgwrCUkxgT53mf3Epc54AaABAg.9xAJXqHT1Df9yBfViZ8cqw,UgwrCUkxgT53mf3Epc54AaABAg,OQw43XClGN4,Banaras Hindu University,rankings,Admission 2026 कौन से यूनिवर्सिटी No.1 है BHU AMU JNU ? | Banaras Hindu University Admission 2026 27,@tbit,UCiIjCoTppoB66t1TnWl5OsQ,http://www.youtube.com/@tbit,https://yt3.ggpht.com/ytc/AIdro_nCPEiCkuOUk2lcS4v3pU_bLOd02JRxekrIiWOOCin0uQ=s48-c-k-c0x00ffffff-no-rj,Awesome,2023-12-11 17:35:59+00:00,2023-12-11T17:35:59Z,0,0,True,7,1,Awesome,Awesome,7.0,1,0,0,0,0,0,0,2023,12,11,Monday,17,2.0,1,0,0,False,0.0,0.0,1.0,0.6249,1.0,Positive
UgwxoEM5aGcYVyCtje94AaABAg,,OQw43XClGN4,Banaras Hindu University,rankings,Admission 2026 कौन से यूनिवर्सिटी No.1 है BHU AMU JNU ? | Banaras Hindu University Admission 2026 27,@Aligvlog1,UCMQoTUxt6CqmFvXRE7fJHIA,http://www.youtube.com/@Aligvlog1,https://yt3.ggpht.com/IleM11PkdHmqKJMCXuB6Jd9Oi-fv8N6eJRl-7_eSS7OE4sLQClW84_cBY05dOrHkwH7t_C01=s48-c-k-c0x00ffffff-no-rj,"I LOVE AMU 
PROUD TO BE ALIG❤
AMU IS LONG LIVE
I STAND WITH AMU EVERY TIME EVERY WHERE. 
😊",2023-11-25 19:42:50+00:00,2023-11-25T19:42:50Z,26,1,False,90,20,I LOVE AMU  PROUD TO BE ALIG❤ AMU IS LONG LIVE I STAND WITH AMU EVERY TIME EVERY WHERE.  😊,I LOVE AMU  PROUD TO BE ALIG❤ AMU IS LONG LIVE I STAND WITH AMU EVERY TIME EVERY WHERE.  😊,3.45,2,0,0,0,0,2,19,2023,11,25,Saturday,19,2.0,1,0,0,False,0.0,0.673,0.327,0.8074,1.0,Positive
UgwxoEM5aGcYVyCtje94AaABAg.9xYhIqQc5df9yBfOp_pH5J,UgwxoEM5aGcYVyCtje94AaABAg,OQw43XClGN4,Banaras Hindu University,rankings,Admission 2026 कौन से यूनिवर्सिटी No.1 है BHU AMU JNU ? | Banaras Hindu University Admission 2026 27,@tbit,UCiIjCoTppoB66t1TnWl5OsQ,http://www.youtube.com/@tbit,https://yt3.ggpht.com/ytc/AIdro_nCPEiCkuOUk2lcS4v3pU_bLOd02JRxekrIiWOOCin0uQ=s48-c-k-c0x00ffffff-no-rj,Awesome,2023-12-11 17:35:02+00:00,2023-12-11T17:35:02Z,3,0,True,7,1,Awesome,Awesome,7.0,1,0,0,0,0,0,0,2023,12,11,Monday,17,2.0,1,0,0,False,0.0,0.0,1.0,0.6249,1.0,Positive
Ugyjgmp3folBPZE3-w54AaABAg,,OQw43XClGN4,Banaras Hindu University,rankings,Admission 2026 कौन से यूनिवर्सिटी No.1 है BHU AMU JNU ? | Banaras Hindu University Admission 2026 27,@Aligvlog1,UCMQoTUxt6CqmFvXRE7fJHIA,http://www.youtube.com/@Aligvlog1,https://yt3.ggpht.com/IleM11PkdHmqKJMCXuB6Jd9Oi-fv8N6eJRl-7_eSS7OE4sLQClW84_cBY05dOrHkwH7t_C01=s48-c-k-c0x00ffffff-no-rj,I love amu,2023-11-25 19:41:16+00:00,2023-11-25T19:41:16Z,1,1,False,10,3,I love amu,I love amu,2.67,1,0,0,0,0,0,1,2023,11,25,Saturday,19,2.0,1,0,0,False,0.0,0.192,0.808,0.6369,1.0,Positive
Ugyjgmp3folBPZE3-w54AaABAg.9xYh7G9RDob9yBfO9SQA8i,Ugyjgmp3folBPZE3-w54AaABAg,OQw43XClGN4,Banaras Hindu University,rankings,Admission 2026 कौन से यूनिवर्सिटी No.1 है BHU AMU JNU ? | Banaras Hindu University Admission 2026 27,@tbit,UCiIjCoTppoB66t1TnWl5OsQ,http://www.youtube.com/@tbit,https://yt3.ggpht.com/ytc/AIdro_nCPEiCkuOUk2lcS4v3pU_bLOd02JRxekrIiWOOCin0uQ=s48-c-k-c0x00ffffff-no-rj,Awesome,2023-12-11 17:34:57+00:00,2023-12-11T17:34:57Z,0,0,True,7,1,Awesome,Awesome,7.0,1,0,0,0,0,0,0,2023,12,11,Monday,17,2.0,1,0,0,False,0.0,0.0,1.0,0.6249,1.0,Positive
Ugx9-2DUEQYK7KQU6TZ4AaABAg.9xAcPMbsV809yBfV75-yCM,Ugx9-2DUEQYK7KQU6TZ4AaABAg,OQw43XClGN4,Banaras Hindu University,rankings,Admission 2026 कौन से यूनिवर्सिटी No.1 है BHU AMU JNU ? | Banaras Hindu University Admission 2026 27,@tbit,UCiIjCoTppoB66t1TnWl5OsQ,http://www.youtube.com/@tbit,https://yt3.ggpht.com/ytc/AIdro_nCPEiCkuOUk2lcS4v3pU_bLOd02JRxekrIiWOOCin0uQ=s48-c-k-c0x00ffffff-no-rj,Awesome,2023-12-11 17:35:54+00:00,2023-12-11T17:35:54Z,0,0,True,7,1,Awesome,Awesome,7.0,1,0,0,0,0,0,0,2023,12,11,Monday,17,2.0,1,0,0,False,0.0,0.0,1.0,0.6249,1.0,Positive
UgwrCUkxgT53mf3Epc54AaABAg,,OQw43XClGN4,Banaras Hindu University,rankings,Admission 2026 कौन से यूनिवर्सिटी No.1 है BHU AMU JNU ? | Banaras Hindu University Admission 2026 27,@Abuubaida-kw7on,UCwTGGWoS-iWjsG8sPhXgtTw,http://www.youtube.com/@Abuubaida-kw7on,https://yt3.ggpht.com/ytc/AIdro_l5LLkTg-D-orAjIv3QnONs9TM45y_AotBXm2mRPRn4eltxYktPs1EaE6EeEfGMXSfLHQ=s48-c-k-c0x00ffffff-no-rj,Amu best,2023-11-16 08:24:40+00:00,2023-11-16T08:24:40Z,1,1,False,8,2,Amu best,Amu best,3.5,1,0,0,0,0,0,0,2023,11,16,Thursday,8,2.0,1,0,0,False,0.0,0.192,0.808,0.6369,1.0,Positive
UgzYpnn37CeXVPskJqt4AaABAg,,OQw43XClGN4,Banaras Hindu University,rankings,Admission 2026 कौन से यूनिवर्सिटी No.1 है BHU AMU JNU ? | Banaras Hindu University Admission 2026 27,@educationmood8069,UCIjS6gnum-yuGDgCJucVEcg,http://www.youtube.com/@educationmood8069,https://yt3.ggpht.com/Ei270ND9BQH5P-pE14int58j74yPt4ihCsOAZSUiN1T9h9vaQAOz303mLhW_ZL0906urVUcN=s48-c-k-c0x00ffffff-no-rj,BHU is the best,2023-11-15 10:16:11+00:00,2023-11-15T10:16:11Z,0,0,False,15,4,BHU is the best,BHU is the best,3.0,1,0,0,0,0,0,1,2023,11,15,Wednesday,10,2.0,1,0,0,False,0.0,0.417,0.583,0.6369,1.0,Positive
UgxahfP5dcy6TngxKsp4AaABAg.9x_BA5k6CtQ9yBfUHRBOHy,UgxahfP5dcy6TngxKsp4AaABAg,OQw43XClGN4,Banaras Hindu University,rankings,Admission 2026 कौन से यूनिवर्सिटी No.1 है BHU AMU JNU ? | Banaras Hindu University Admission 2026 27,@tbit,UCiIjCoTppoB66t1TnWl5OsQ,http://www.youtube.com/@tbit,https://yt3.ggpht.com/ytc/AIdro_nCPEiCkuOUk2lcS4v3pU_bLOd02JRxekrIiWOOCin0uQ=s48-c-k-c0x00ffffff-no-rj,Awesome,2023-12-11 17:35:47+00:00,2023-12-11T17:35:47Z,0,0,True,7,1,Awesome,Awesome,7.0,1,0,0,0,0,0,0,2023,12,11,Monday,17,2.0,1,0,0,False,0.0,0.0,1.0,0.6249,1.0,Positive
